student_id,name,email,password,role
2026030401,柏贞兰,student2026030401@qq.com,123456,student
2026020302,柏芝妍,student2026020302@gmail.com,123456,student
2026050103,严玲,student2026050103@sina.com,123456,student
2026060204,沈玲,student2026060204@sina.com,123456,student
2026080305,戚晶,student2026080305@sina.com,123456,student
2026050306,邹桂娟,student2026050306@outlook.com,123456,student
2026040507,谢洁,student2026040507@gmail.com,123456,student
2026040208,范先,student2026040208@sina.com,123456,student
2026010309,何雅晶,student2026010309@outlook.com,123456,student
2026060110,柏巧荣,student2026060110@outlook.com,123456,student
2026050211,奚伟,student2026050211@sina.com,123456,student
2026020412,孙红,student2026020412@outlook.com,123456,student
2026060313,苏萍,student2026060313@sina.com,123456,student
2026050114,尤平,student2026050114@gmail.com,123456,student
2026050315,章强峰,student2026050315@outlook.com,123456,student
2026030316,魏莺,student2026030316@qq.com,123456,student
2026040417,钱姣,student2026040417@outlook.com,123456,student
2026010218,褚锦,student2026010218@sina.com,123456,student
2026060119,金会,student2026060119@163.com,123456,student
2026070120,周林,student2026070120@gmail.com,123456,student
2026060321,何莎,student2026060321@sina.com,123456,student
2026080422,冯兴会,student2026080422@163.com,123456,student
2026050323,华妍香,student2026050323@163.com,123456,student
2026080324,尤娟锦,student2026080324@sina.com,123456,student
2026030525,沈广,student2026030525@outlook.com,123456,student
2026040426,曹素,student2026040426@gmail.com,123456,student
2026050227,张天,student2026050227@outlook.com,123456,student
2026010128,朱萍姣,student2026010128@gmail.com,123456,student
2026040429,孔春,student2026040429@outlook.com,123456,student
2026050430,何东达,student2026050430@sina.com,123456,student
2026070531,严荣妹,student2026070531@163.com,123456,student
2026070532,孙珍,student2026070532@outlook.com,123456,student
2026040233,张勤青,student2026040233@qq.com,123456,student
2026010134,杨婉,student2026010134@outlook.com,123456,student
2026030335,王娣春,student2026030335@qq.com,123456,student
2026030136,戚燕惠,student2026030136@outlook.com,123456,student
2026030537,李全会,student2026030537@sina.com,123456,student
2026020138,陈彬富,student2026020138@163.com,123456,student
2026050139,朱红,student2026050139@gmail.com,123456,student
2026030340,褚娣,student2026030340@qq.com,123456,student
2026080541,姜学,student2026080541@163.com,123456,student
2026080442,孔伟,student2026080442@qq.com,123456,student
2026040543,周娅倩,student2026040543@sina.com,123456,student
2026010144,柏良,student2026010144@sina.com,123456,student
2026060245,赵力,student2026060245@163.com,123456,student
2026010446,孔艳珊,student2026010446@outlook.com,123456,student
2026010147,李辉,student2026010147@163.com,123456,student
2026020148,周瑞倩,student2026020148@outlook.com,123456,student
2026030349,曹杰,student2026030349@sina.com,123456,student
2026060450,冯博,student2026060450@sina.com,123456,student
2026030201,彭萍,student2026030201@163.com,123456,student
2026030302,冯瑞,student2026030302@qq.com,123456,student
2026080203,华诚,student2026080203@163.com,123456,student
2026050104,严淑秀,student2026050104@outlook.com,123456,student
2026020305,彭峰,student2026020305@sina.com,123456,student
2026040406,蒋昌,student2026040406@outlook.com,123456,student
2026050307,喻新彪,student2026050307@163.com,123456,student
2026040108,柏全义,student2026040108@outlook.com,123456,student
2026060409,王红,student2026060409@qq.com,123456,student
2026040210,沈珍慧,student2026040210@163.com,123456,student
2026080411,范健,student2026080411@outlook.com,123456,student
2026080512,范胜清,student2026080512@outlook.com,123456,student
2026070313,邹洁芝,student2026070313@gmail.com,123456,student
2026020314,吕叶,student2026020314@163.com,123456,student
2026040515,金萍,student2026040515@qq.com,123456,student
2026020116,陶素,student2026020116@outlook.com,123456,student
2026080417,姜有光,student2026080417@163.com,123456,student
2026080118,华茂,student2026080118@sina.com,123456,student
2026080319,郑彪,student2026080319@qq.com,123456,student
2026080520,曹萍红,student2026080520@gmail.com,123456,student
2026010521,吕英静,student2026010521@sina.com,123456,student
2026080523,杨勇,student2026080523@163.com,123456,student
2026030324,何勇健,student2026030324@outlook.com,123456,student
2026050325,卫俊,student2026050325@163.com,123456,student
2026080126,沈发,student2026080126@outlook.com,123456,student
2026070427,褚环,student2026070427@sina.com,123456,student
2026040428,姜明龙,student2026040428@sina.com,123456,student
2026030229,赵凤,student2026030229@gmail.com,123456,student
2026010330,奚贞凡,student2026010330@163.com,123456,student
2026080231,曹洁瑞,student2026080231@outlook.com,123456,student
2026010532,戚学强,student2026010532@outlook.com,123456,student
2026010333,范昌壮,student2026010333@outlook.com,123456,student
2026050235,杨胜,student2026050235@gmail.com,123456,student
2026070536,陶翠姣,student2026070536@163.com,123456,student
2026040137,张洁莲,student2026040137@qq.com,123456,student
2026070238,窦娟,student2026070238@qq.com,123456,student
2026010539,赵光,student2026010539@gmail.com,123456,student
2026040240,姜瑾璧,student2026040240@gmail.com,123456,student
2026020341,杨娜,student2026020341@qq.com,123456,student
2026030142,褚霞,student2026030142@sina.com,123456,student
2026020443,李伟波,student2026020443@qq.com,123456,student
2026040344,奚子,student2026040344@163.com,123456,student
2026020145,严妍贞,student2026020145@sina.com,123456,student
2026080446,孔文飞,student2026080446@outlook.com,123456,student
2026070147,彭信,student2026070147@outlook.com,123456,student
2026050248,谢杰,student2026050248@outlook.com,123456,student
2026050549,彭平,student2026050549@gmail.com,123456,student
2026030450,赵莉,student2026030450@gmail.com,123456,student
